Product,Category
marengo sparkling rosé - (750ml),SPARKLING 
old nick caribbean white rum (700ml),RUM 
kwv classic chardonnay (750ml),WHITE WINE 
pol remy ice rosé -  (750ml),SPARKLING 
jinro green grape soju - 360ml  tzs11000,SOJU
jinro plum soju - 360ml  tzs11000,SOJU
jinro grapefruit soju - 360ml  tzs11000,SOJU
jinro soju wholesale,SOJU
warwick three cape ladies cape blend (750ml),RED WINE
casamigos blanco - 700ml,TEQUILLA
negrita spice golden rum (700ml),RUM 
tugboat 12000 puffs lush ice,VAPES 
sprite   tzs0,SODA
freixenet mia semi sweet red (750ml),RED WINE
vinecrafter merlot,RED WINE
rendez pink - 750ml,NON ALCOHOLIC SPARKLING
jinro peach soju - 360ml  tzs22000,SOJU
elixio cabernet sauvignon - 750ml,RED WINE
pol remy ice - (750ml),SPARKLING 
martini bianco (750ml),SPARKLING 
freshy 1500 puffs blueberry raspberry ice,VAPES 
tugboat 12000 puffs cotton candy,VAPES 
jp chenet reserve pinot noir(new),WHITE WINE 
b&g cuvee speciale red (750ml),RED WINE
floydeez cola popcorn 60g,SNACKS 
afya drinking water - 250ml - pack 12,DRINKING WATER 
tugboat 12000 puffs black mamba,VAPES 
freshy 2500 grape ice,VAPES 
"freshy 10,000 kiwi guava passion fruit ice",VAPES 
bonne esperance sweet white (750ml),WHITE WINE 
kwv classic sauvignon blanc (750ml),WHITE WINE 
don julio reposado - 750ml,TEQUILLA
kwv classic rosé (750ml),ROSE WINE
kwv wild africa cream (750ml),LIQUEUR 
freshy 7000 black ice,VAPES 
martini rosso (750ml),LIQUEUR 
freshy 2500 puffs strawberry watermelon ice,VAPES 
kanonkop kadette cabernet sauvignon (750ml),RED WINE
freshy 7000omg fruit flash,VAPES 
elixio insigne malbec - 750ml,RED WINE
elfbar ice king 30000 puffs strawberry watermelon,VAPES 
jose cuervo silver (750mls),TEQUILLA
martini asti - 0.75 l,LIQUEUR 
lions hill sweet white (750ml),WHITE WINE 
warwick chenin blanc-old vines (750ml),WHITE WINE 
sundabests wine glass no 3057 - 6pc,PARTY ESSENTIAL
johari tanzania gin,GIN 
jp chenet ice edition white (750ml),SPARKLING 
"freshy 10,000 skittles ice",VAPES 
"16,000 puffs banana ice",VAPES 
landskroon paul de villers merlot,RED WINE
jinro peach soju - 360ml  tzs11000,SOJU
dew drop 19l non returnable,DRINKING WATER 
pearly bay celebration sweet white (750ml),SPARKLING 
50 pcs plastic disposable party cups 18oz red for all occasions,PARTY ESSENTIAL
duet sparkling rosé (750ml),SPARKLING 
gato negro rosé (750ml),ROSE WINE
painted dog - 750ml,GIN 
star of africa cabernet sauvignon (750ml),RED WINE
silver party,COMBO 
gato negro - malbec (750ml),RED WINE
